,target,prompt
0,Ariel,"mermaid, Disney, princess, beauty, royal, magical, ocean, fantasy, crown, coral, singing, red hair, underwater, animated, popular, bright, storybook, charming, iconic, siren, cartoon"
1,Astro Boy,"anime, manga, Japanese, flying, robot, Osamu Tezuka, classic, android, retro, adventure, iconic, strong, machine, superhero, futuristic, science fiction, shorts, spiky hair, boots, charming, cartoon"
2,Batman,"dark, black, Gotham, superhero, batmobile, mask, detective, cape, night, armored, leather, cowl, Bat-signal, batwing, tactical, Batarang, gloves, boots, tall, iconic, cartoon"
3,Black Panther,"Black, panther, Marvel, Wakanda, T'Challa, mask, king, superhero, suit, African, power, necklace, leather, vibranium, tribal, warrior, leader, claws, modern, silhouette, cartoon"
4,Bulbasaur,"anime, Pokémon, game, Nintendo, green, monster, Ivysaur, Venusaur, starter, evolution, creature, plant, blue, skin, bulb, whip, fangs, seed, grass-type, claws, cartoon"
5,Buzz Lightyear,"toy, Toy Story, Disney, Pixar, action figure, Star Command, Space ranger, infinity and beyond, cartoon, wings, laser, animated, gloves, utility belt, space suit, intergalactic, space explorer, boots, poseable, adventurous, cartoon"
6,Captain America,"soldier, Shield, red, blue, white, mask, leather, American, Super-Soldier, fitness, vintage, helmet, uniform, stars, gloves, belt, boots, patriotic, brave, symbol, cartoon"
7,Chun-Li,"Street Fighter, Capcom, Chinese, spinning bird kick, hero, strategy, justice, fast, inspiration, female fighter, lightning kick, powerful, white boots, arcade game, badge, kung fu, special moves, thick thighs, battle outfit, martial artist, cartoon"
8,Cinderella,"castle, prince, charming, fairy tale, ball gown, beauty, fairy godmother, necklace, pumpkin carriage, dance, midnight, stepmother, fantasy, sisters, tiara, elegant, Glass slippers, iconic, rags, blonde, cartoon"
9,Cuphead,"Cartoon, Animated, Retro, 1930s, Vintage, Run-and-gun, Black-and-white, Inkwell, Platformer, Co-op gameplay, Boss battles, Hand-drawn, Challenging, Classic animation, Colorful, Iconic, Hard difficulty, Red shorts, Nostalgia, Striped straw, cartoon"
10,Donald Duck,"Disney, cartoon, vintage, funny, classic, happy, animated, timeless, famous, iconic, feisty, gloves, beloved, sailor hat, handkerchief, lovable, suspenders, red bow tie, vibrant, anthropomorphic, cartoon"
11,Doraemon,"cute, anime, Japan, cat, Blue, character, adventure, robot, manga, white, animation, pocket, popular, smile, bell, magic, gadgets, manga series, round, 22nd century, cartoon"
12,Elsa,"Frozen, Disney, Snow, Silver, Winter, Crown, Magic, Gown, Frost, Cape, Glitter, Snowflakes, Tiara, Braid, Sparkle, Ice Queen, Cool, Fantasy, Animation, Hairstyle, cartoon"
13,Goofy,"Disney, funny, dog, cartoon, vintage, character, silly, goof, animation, animated, Tall, friendly, male, cheerful, lovable, humorous, iconic, vest, clumsy, slapstick, cartoon"
14,Groot,"guardian, green, wooden, gentle giant, natural, branches, mossy, Tree-like, durable, botanical, leafy, rustic, organic, wise, ancient, humanoid, majestic, flexible, sustainable, woody, cartoon"
15,Hulk,"Marvel, superhero, Green, giant, savage, angry, indestructible, strong, smashing, strength, powerful, massive, solid, ripped, hulking, muscular, durable, monstrous, enraged, explosive, cartoon"
16,Iron Man,"superhero, helmet, Arc reactor, suit-up, Stark Industries, alloy, armored Avenger, metallic, iconic, superhero costume, exoskeleton, high-tech, futuristic, visor, gauntlets, faceplate, red and gold armor, chest plate, flight suit, retractable, cartoon"
17,Judy Hopps,"Zootopia, Disney, bunny, rabbit, determined, ears, animated, optimistic, mammal, badge, tail, adventure, small, police uniform, strong, grey, assistant, young, boots, smart, cartoon"
18,Kirby,"cute, round, Pink, small, video game, soft, flying, sweet, fantasy, simple, friendly, mascot, bright, copy ability, animated, adorable, iconic, floating, transformation, balloon, cartoon"
19,Kung Fu Panda,"panda, DreamWorks, Chinese, animated, warrior, action, funny, martial arts, adorable, protective, black-and-white, dumplings, clumsy, friendly, bamboo, Gi, traditional, spirited, iconic, fur, cartoon"
20,Lightning McQueen,"Disney, Pixar, Red, Cars movie, Piston Cup, race car, speed, fast, animated, champion, popular, friendly, number 95, modern, family-friendly, motor, determined, spoiler, shiny, Lightning bolt, cartoon"
21,Link,"Zelda, belt, map, young, Breath of the Wild, boots, sword, cap, Twilight Princess, Hyrule, hero, hearts, ocarina, shield, Skyward Sword, Triforce, fairy, pouch, gloves, Epona, cartoon"
22,Maleficent,"fairy tale, gothic, Disney character, dark beauty, winged, dark fairy, elegant, protective, misunderstood, costume design, menacing, mystical, fearsome, vengeful, captivating, regal, Horned headdress, high collar, ethereal, majestic, cartoon"
23,Mario,"Nintendo, Bowser, Yoshi, Italian, Princess Peach, video games, Cap, coins, plumber, Question Block, hero, jumping, power-ups, mustache, iconic, mushroom kingdom, Fire Flower, Super Star, jumps, pipes, cartoon"
24,Mickey Mouse,"Disney, clubhouse, red, Walt Disney, black, cartoon, ears, white, classic, character, happy, fun, magic, silhouette, shorts, round, animation, mascot, animated, gloves, cartoon"
25,Mike Wazowski,"Mike, Monsters Inc, Disney, Pixar, monster, plush, Green, kids, character, toys, film, small, smile, animated, one-eyed, adorable, round, cyclops, merchandise, furry, cartoon"
26,Monkey D. Luffy,"One Piece, anime, manga, Straw hat, pirate, captain, young, sandals, black hair, smiling, leader, brave, heroic, hungry, muscular, friendly, powerful, teenage, blue shorts, adventurous, cartoon"
27,Mr. Incredible,"""The Incredibles"", Pixar, superhero, mask, animated, strong, tall, cartoon, heroic, super strength, father, red suit, cape, determined, fit, Muscular, powerful, protector, symbol, inspiring, cartoon"
28,Naruto,"Ninja, Headband, Sage mode, Rasengan, Seventh Hokage, Smile, Sandals, Leaf Village symbol, Shadow clone, Transformation, Uzumaki Clan symbol, Inspiring, Blue eyes, Determination, Bandages, Friendly, Konoha headband, Growing up, Kunai bag, Spirited, cartoon"
29,Nemo,"fish, Pixar, sea, movie, Clownfish, cute, ocean, underwater, reef, white, character, coral, soft, orange, small, animated, animated, anemone, adventure, swim, cartoon"
30,Olaf,"frozen, Disney, Snowman, white, cute, soft, funny, small, happy, magic, adorable, animated, round, creative, unique, friendly, frosty, snowy, carrot nose, bright, cartoon"
31,Pac-Man,"arcade, ghost, video game, Namco, retro, classic, maze, Midway, blinky, arcade cabinet, yellow, eat, 8-bit, inky, clyde, pixel, game over, pinky, level, 1980s, cartoon"
32,Peter Pan,"Neverland, Captain Hook, Tinker Bell, flying, shadow, pixie, adventures, Lost Boys, pirate ship, charm, fantasy, magical, storybook, mermaids, boots, island, hero, fairy dust, timeless, imagination, cartoon"
33,Piglet,"Winnie the Pooh, pig, cute, Pink, cartoon, plush, small, soft, adorable, character, friend, tiny, embroidered, simple, cap, striped, warm, blush, animation, curly tail, cartoon"
34,Pikachu,"Pokémon, cute, anime, toy, yellow, character, red, series, mascot, small, Ash Ketchum, short, tail, ears, creature, electric, collectible, mouse, fictional, video games, cartoon"
35,Princess Jasmine,"princess, Disney, Aladdin, Arabian, royal, beautiful, necklace, cartoon, tiara, turquoise, exotic, palace, animated, Agrabah, iconic, long hair, elegant, black hair, determined, vivid, cartoon"
36,Puss in boots,"Boots, fairy tale, animated, hat, sword, feline, furry, feather, hero, clever, leather, tails, legend, walking, charming, standing, cape, belt, anthropomorphic, smart, cartoon"
37,Rapunzel,"princess, tower, classic, beautiful, blonde, Long hair, fantasy, magical, braided, floral, traditional, storybook, shimmering, charming, tall, medieval, enchanting, golden hair, dreamy, innocent, cartoon"
38,Snow White,"Disney, seven dwarfs, princess, dress, evil queen, apple, prince, classic, beauty, fairytale, mirror, forest, love, cottage, magic, poison, fantasy, enchanted, animals, animated, cartoon"
39,Sonic The Hedgehog,"hedgehog, Sega, tails, video game, Blue, Genesis, zone, cartoon, Sonic boom, adventure, comics, speed, rings, running, collectible, fast, cool, sneakers, mascot, hero, cartoon"
40,Spider-Man,"costume, Marvel Comics, superhero, mask, New York, stealth, jumpsuit, swinging, friendly neighborhood, young, hooded, web-shooter, web-slinger, spider-sense, climbing, iconic, symbol, crawling, athletic, wall-crawler, cartoon"
41,SpongeBob SquarePants,"Bikini Bottom, Nickelodeon, cartoon, yellow, Squidward, Krusty Krab, Patrick Star, pineapple, pants, Gary, sea, Krabs, Krabby Patty, square, fun, socks, Sandy Cheeks, animated, shoes, jellyfish, cartoon"
42,Squirtle,"Pokémon, anime, cute, cartoon, Blastoise, blue, Wartortle, turtle, evolution, small, creature, shell, tail, water type, animated, water gun, swimming, claws, popular, tough, cartoon"
43,Thanos,"Marvel, Infinity Gauntlet, Titan, Infinity Stones, villain, cosmic, Mad Titan, space, armor, powerful, supervillain, destroyer, warlord, conqueror, alien, terrifying, intergalactic, telepathy, Eternal, antagonist, cartoon"
44,Thor,"hammer, thunder, god of thunder, hero, Viking, Mjolnir, helmet, metal, boots, protector, leather, armor, Norse mythology, ancient, lightning, cape, warrior, Norse god, Asgardian, powerful, cartoon"
45,Tinker Bell,"Disney, Fairy, Peter Pan, wings, light, cute, pixie dust, Neverland, magical, blonde, fairy tale, animated, fantasy, tiny, flight, bright, green dress, sassy, enchanting, glowing, cartoon"
46,Wall-E,"Pixar, Robot, film, metal, cute, animated, short, yellow, cube, small, adventure, electronic, grey, friendly, tracks, futuristic, autonomous, dirty, post-apocalyptic, curiosity, cartoon"
47,Winnie-the-Pooh ,"Classic, Bear, Plush, Cute, Cartoon, Soft, Yellow, Hundred Acre Wood, Honey Pot, Storybook, Animated, Fictional, Round, English, Simple, Friendly, Stuffed toy, Warm, Beloved, Timeless, cartoon"
48,Woody,"toy, Toy Story, Disney, Pixar, sheriff, doll, wood, vintage, Cowboy, star, brown, character, hat, boots, pull string, leather, Andy, Western, retro, animation, cartoon"
49,Yoda,"Star Wars, The Mandalorian, The Child, Disney, Cute, meme, Grogu, adorable, green, soft, merchandise, small, robe, alien, popular, sci-fi, species, puppet, viral, miniature, cartoon"
